city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Ragonvalia,CO,7.5775,-72.4757,63.23,90,99,3.71,overcast clouds
222,Koscian,PL,52.0883,16.6487,44.33,82,92,5.73,overcast clouds
223,Suleya,RU,55.1352,58.8792,22.78,85,100,13.2,overcast clouds
224,Jimma,ET,7.6667,36.8333,58.91,86,78,1.48,broken clouds
225,Ploemeur,FR,47.7333,-3.4333,43.39,100,20,3.44,mist
226,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,84,80,10.65,broken clouds
227,Hobyo,SO,5.3505,48.5268,79.41,77,74,8.63,broken clouds
228,Les Cayes,HT,18.2,-73.75,77.59,81,87,3.15,overcast clouds
229,La Rioja,ES,42.25,-2.5,38.48,80,91,4.74,overcast clouds
230,Sindor,RU,62.8629,51.8905,31.55,95,100,8.1,overcast clouds
231,Mana,GF,5.6592,-53.7767,78.03,88,64,7.07,broken clouds
232,Gouyave,GD,12.1646,-61.7296,80.29,75,15,14.5,few clouds
233,Cozumel,MX,20.5083,-86.9458,75.27,95,40,8.01,scattered clouds
234,Torrevieja,ES,37.9787,-0.6822,64.53,68,28,4.0,scattered clouds
235,Adamas,GR,36.7333,24.4333,58.42,70,91,18.9,overcast clouds
236,Santa Marinella,IT,42.0345,11.8536,59.52,94,100,10.33,light rain
237,Ruwi,OM,23.5996,58.5507,73.09,51,4,3.29,clear sky
238,Garissa,KE,-0.4536,39.6401,77.23,82,82,8.5,broken clouds
239,Lucea,JM,18.451,-78.1736,80.46,80,90,8.3,overcast clouds
240,Punto Fijo,VE,11.6956,-70.1996,80.69,79,85,23.42,overcast clouds
241,Namanga,KE,-2.5433,36.7905,64.09,86,100,4.36,overcast clouds
242,Rawson,AR,-43.3002,-65.1023,57.97,81,99,4.29,moderate rain
243,Vardo,NO,70.3705,31.1107,32.05,72,98,20.69,overcast clouds
244,Vitoria Da Conquista,BR,-14.8661,-40.8394,64.26,89,27,4.07,scattered clouds
245,Ilawa,PL,53.596,19.5685,44.8,92,100,7.29,overcast clouds
246,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.52,92,100,8.01,light rain
247,Goma,CD,-1.6792,29.2228,62.91,78,99,3.04,overcast clouds
248,Balsas,BR,-7.5325,-46.0356,75.24,85,28,2.24,scattered clouds
249,Ulefoss,NO,59.2838,9.2646,41.88,80,99,4.12,overcast clouds
250,Gobabis,NA,-22.45,18.9667,71.44,40,44,8.59,scattered clouds
251,Iqaluit,CA,63.7506,-68.5145,8.17,92,67,11.77,broken clouds
252,Santa Maria,BR,-29.6842,-53.8069,58.93,74,0,12.01,clear sky
253,Grindavik,IS,63.8424,-22.4338,34.27,86,0,9.22,clear sky
254,Boali,CF,4.8005,18.1275,72.82,90,100,2.19,overcast clouds
255,Inongo,CD,-1.95,18.2667,70.52,92,57,1.59,broken clouds
256,Naryan-Mar,RU,67.6713,53.087,28.15,98,100,7.02,overcast clouds
257,Marawi,PH,7.9986,124.2928,74.64,70,100,4.07,overcast clouds
258,Kilindoni,TZ,-7.9139,39.6668,80.78,76,76,8.55,broken clouds
259,Clarksburg,US,39.2807,-80.3445,66.31,61,90,8.05,moderate rain
260,Carovigno,IT,40.708,17.655,57.27,86,98,3.85,overcast clouds
261,Port Hawkesbury,CA,45.6169,-61.3485,41.79,79,52,5.99,broken clouds
262,Buraydah,SA,26.326,43.975,60.26,32,86,7.27,overcast clouds
263,Pitimbu,BR,-7.4706,-34.8086,77.59,82,13,7.25,few clouds
264,Lima,PE,-12.0432,-77.0282,64.9,79,0,12.66,clear sky
265,Gonaives,HT,19.45,-72.6833,77.02,84,90,4.81,overcast clouds
266,Dingle,PH,10.9995,122.6711,84.94,77,96,12.19,overcast clouds
267,Carlisle,US,40.2015,-77.1889,62.17,82,100,1.01,overcast clouds
268,Beyneu,KZ,45.3167,55.2,24.53,60,0,4.99,clear sky
269,Chitungwiza,ZW,-18.0127,31.0756,61.45,86,99,3.71,overcast clouds
270,Blagoyevo,RU,63.3667,47.9167,33.73,98,100,8.25,overcast clouds
271,Honningsvag,NO,70.9821,25.9704,33.6,62,100,16.35,light snow
272,Manjeshwar,IN,12.7194,74.8861,76.15,82,100,6.42,overcast clouds
273,Olinda,BR,-8.0089,-34.8553,80.33,78,75,5.75,broken clouds
