City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Bubaque,GW,2021-11-08 03:57:37,11.2833,-15.8333,83.05,74,44,9.31
139,Berlevag,NO,2021-11-08 03:59:18,70.8578,29.0864,29.86,72,100,9.55
140,Ibra,OM,2021-11-08 04:04:34,22.6906,58.5334,74.46,41,0,1.05
141,Laguna,US,2021-11-08 03:55:29,38.421,-121.4238,54.1,69,1,3.44
142,Palmas,BR,2021-11-08 04:04:35,-10.2128,-48.3603,76.87,88,75,2.3
143,Albox,ES,2021-11-08 04:04:35,37.3886,-2.1495,45.05,40,0,7.72
144,Artigas,UY,2021-11-08 04:02:56,-30.4,-56.4667,57.72,87,11,8.37
145,Tres Arroyos,AR,2021-11-08 04:04:36,-38.3739,-60.2798,50.34,80,50,8.41
146,Vila Do Maio,CV,2021-11-08 03:55:19,15.1333,-23.2167,75.99,76,100,15.68
147,Gualaquiza,EC,2021-11-08 04:04:37,-3.4,-78.55,61.77,98,71,1.45
148,Vardo,NO,2021-11-08 03:55:02,70.3705,31.1107,25.0,60,99,15.88
149,Cayenne,GF,2021-11-08 03:56:03,4.9333,-52.3333,81.09,84,40,3.0
150,Stornoway,GB,2021-11-08 03:57:30,58.2093,-6.3865,48.92,81,100,18.41
151,Henties Bay,NA,2021-11-08 03:59:31,-22.116,14.2845,52.86,89,14,11.41
152,Aripuana,BR,2021-11-08 04:04:38,-9.1667,-60.6333,71.42,99,88,1.99
153,Faya,SA,2021-11-08 03:56:25,18.3851,42.4509,48.72,41,0,1.88
154,Luderitz,NA,2021-11-08 03:55:35,-26.6481,15.1594,55.63,82,0,8.61
155,Bathsheba,BB,2021-11-08 03:56:05,13.2167,-59.5167,81.21,74,40,14.97
156,Chicama,PE,2021-11-08 04:04:40,-7.8447,-79.1469,61.34,83,91,5.23
157,Pavlivka,UA,2021-11-08 04:04:40,49.4414,28.4596,39.49,89,100,7.05
158,Soyo,AO,2021-11-08 03:55:47,-6.1349,12.3689,77.27,86,98,5.99
159,Ferkessedougou,CI,2021-11-08 04:04:41,9.6,-5.2,74.59,68,10,4.52
160,Ostrovnoy,RU,2021-11-08 03:58:15,68.0531,39.5131,22.21,91,99,11.03
161,Richards Bay,ZA,2021-11-08 03:57:48,-28.783,32.0377,70.84,94,100,6.62
162,Ereymentau,KZ,2021-11-08 04:04:43,51.6199,73.1033,29.07,46,97,18.16
163,Rawson,AR,2021-11-08 03:56:15,-43.3002,-65.1023,59.65,54,100,4.41
164,Placido De Castro,BR,2021-11-08 04:04:44,-10.3353,-67.1856,71.8,99,99,1.28
165,Kiruna,SE,2021-11-08 03:58:04,67.8557,20.2251,11.32,79,22,6.91
166,Havre-Saint-Pierre,CA,2021-11-08 03:57:15,50.2334,-63.5986,44.6,93,90,4.61
167,San Cristobal,VE,2021-11-08 03:56:09,7.7669,-72.225,71.78,89,98,1.86
168,Alekseyevskoye,RU,2021-11-08 04:04:45,55.3071,50.1135,36.28,82,100,13.4
169,Bandarbeyla,SO,2021-11-08 03:59:09,9.4942,50.8122,78.64,64,71,9.84
170,Ligatne,LV,2021-11-08 04:04:46,57.2343,25.0406,38.25,95,100,4.0
171,General Roca,AR,2021-11-08 04:04:46,-39.0333,-67.5833,72.0,27,91,11.21
172,Voi,KE,2021-11-08 04:00:56,-3.3945,38.563,69.39,77,86,4.47
173,Turukhansk,RU,2021-11-08 03:58:25,65.8167,87.9833,32.56,98,100,18.68
174,Morgantown,US,2021-11-08 04:04:29,39.6295,-79.9559,47.91,70,1,0.0
175,Samdari,IN,2021-11-08 04:00:21,25.8167,72.5833,81.75,22,76,4.97
176,Cap Malheureux,MU,2021-11-08 03:55:23,-19.9842,57.6142,79.47,72,17,10.0
